RouteID,Date,Route Type,Alpine,Rating,Safety,Avg Stars,Pitches,Lead Style,Attempts
105803971,591,0,0,34,0,2.9,1,0,1
105804292,595,0,0,49,0,3.5,1,2,1
105804852,162,1,1,26,0,3.8,5,0,1
105806895,597,0,0,34,0,2.9,1,0,1
105807027,293,1,0,36,0,2.6,1,0,1
105809702,345,0,0,35,0,3.1,1,0,1
105812408,670,0,0,42,0,2.5,1,0,1
105812559,601,0,0,34,0,3.2,1,0,1
105812642,604,0,0,42,0,3.3,1,0,1
105812654,604,0,0,32,0,2.4,1,0,1
105813238,632,0,0,42,0,3.4,1,1,2
105813275,631,0,0,26,0,2.6,1,0,1
105813493,518,0,0,44,0,3.4,1,0,1
105814533,603,0,0,42,0,3.0,1,0,1
105816995,636,1,0,33,0,3.8,5,2,1
105817270,593,0,0,42,0,2.4,1,0,1
105818791,586,0,0,35,0,3.0,1,0,1
105818849,518,0,0,54,0,2.9,1,1,2
105819372,212,0,0,30,0,2.2,1,0,1
105819734,633,0,0,27,0,2.1,1,0,1
105820098,633,0,0,44,0,3.4,1,1,2
105820346,603,1,0,32,0,2.8,1,0,1
105820350,600,0,0,32,0,2.3,1,0,1
105820721,603,1,0,26,0,3.1,1,0,1
105820726,593,0,0,29,0,3.0,1,0,1
105822639,216,0,0,34,0,2.1,1,0,1
105827047,253,0,0,54,0,3.7,1,2,1
105827059,319,0,0,57,0,3.7,1,2,1
105827433,258,0,0,35,0,2.5,1,0,1
105827564,514,0,0,37,0,2.7,1,0,1
105827570,514,0,0,50,0,3.5,1,0,1
105827628,319,0,0,42,0,2.9,1,0,1
105827646,319,0,0,32,0,3.0,1,0,1
105828453,319,0,0,39,0,2.6,1,0,1
105829983,258,0,0,44,0,3.0,1,0,1
105831617,428,0,0,51,0,3.4,1,0,1
105832283,612,0,0,54,0,3.9,1,2,1
105841216,251,0,0,39,0,3.5,1,0,1
105841220,251,0,0,47,0,3.8,1,0,1
105841247,493,0,0,37,0,2.7,1,0,1
105841251,489,0,0,44,0,3.7,1,1,2
105841257,493,0,0,42,0,2.7,1,1,2
105841382,167,0,0,37,0,3.4,1,1,2
105841390,171,0,0,42,0,3.4,1,0,1
105841688,620,0,0,26,0,2.5,1,0,1
105841699,620,0,0,29,0,3.0,1,0,1
105842717,163,0,1,39,0,3.0,1,2,1
105842817,648,1,0,26,0,3.2,1,0,1
105842825,654,1,0,29,0,3.6,1,0,1
105843581,611,0,0,34,0,3.6,1,0,1
105843696,611,0,0,42,0,3.7,1,0,1
105845816,654,1,0,32,0,3.6,1,1,2
105847524,253,0,0,36,0,2.6,3,0,1
105849567,513,1,0,23,0,2.5,1,0,1
105851509,167,0,0,34,0,2.2,1,0,1
105851631,170,0,0,54,0,3.4,1,0,1
105851716,321,0,0,34,0,3.1,1,0,1
105851974,321,0,0,33,0,2.6,1,0,1
105852183,640,1,1,36,0,3.5,12,0,1
105853353,252,0,0,42,0,3.3,1,0,1
105853365,325,0,0,42,0,3.0,1,0,1
105853386,252,0,0,32,0,2.6,1,0,1
105854239,316,1,0,32,0,2.7,1,0,1
105855622,424,0,0,34,0,2.8,1,0,1
105856656,326,0,0,44,0,3.3,1,0,1
105856679,238,0,0,52,0,3.5,1,0,1
105856684,238,0,0,54,0,3.8,1,0,1
105856757,234,0,0,41,0,3.7,1,0,1
105856762,252,0,0,37,0,2.8,1,0,1
105857638,170,0,0,42,0,2.7,1,0,1
105857742,502,1,0,26,0,3.2,1,0,1
105857749,654,1,0,29,1,2.6,1,0,1
105860676,635,1,1,42,0,4.0,12,2,1
105862055,494,0,0,52,0,3.0,1,1,2
105862062,493,0,0,54,0,3.2,1,0,1
105862092,323,0,0,47,0,3.1,1,1,2
105862459,287,0,0,43,0,3.0,1,0,1
105863234,320,0,0,52,0,3.5,1,0,1
105869766,250,0,0,26,0,3.1,1,0,1
105878061,341,0,0,32,0,2.7,1,0,1
105880407,589,0,0,54,0,3.1,1,1,4
105888371,444,1,0,26,0,3.4,1,0,1
105888734,192,1,0,46,0,3.5,1,2,1
105889237,444,1,0,29,0,2.6,1,0,1
105889536,438,0,0,29,0,3.2,1,0,1
105889540,438,0,0,39,0,3.5,1,0,1
105889544,438,0,0,44,0,3.1,1,1,2
105892533,446,0,0,29,0,2.6,1,0,1
105893726,192,1,0,29,0,2.9,1,0,1
105893872,445,0,0,54,0,3.2,1,1,2
105900338,469,1,0,26,0,2.9,1,0,1
105900347,469,1,0,20,1,2.2,1,0,1
105903232,631,0,0,26,0,2.7,1,0,1
105910504,154,1,0,29,0,2.0,1,0,1
105910510,154,1,0,26,0,2.4,1,0,1
105910806,648,1,0,32,0,3.4,1,0,1
105910942,648,1,0,26,0,2.8,1,0,1
105911529,341,0,0,36,0,3.1,1,0,1
105911558,341,0,0,34,0,2.5,1,2,1
105912905,638,0,0,47,0,3.7,1,1,2
105912909,639,0,0,52,0,3.4,1,2,1
105913834,633,0,0,47,0,3.2,1,0,1
105918091,567,0,0,42,0,2.4,1,0,1
105918466,559,0,0,52,0,3.6,1,0,1
105926879,444,1,0,34,0,3.3,1,0,1
105929386,348,0,0,44,0,3.6,1,0,1
105932154,292,0,0,54,0,3.5,1,1,2
105941644,650,1,0,32,0,3.8,1,2,1
105944377,563,0,0,30,0,3.5,1,0,1
105944381,563,0,0,34,0,2.8,1,0,1
105944388,557,0,0,59,0,3.9,1,2,1
105944445,632,0,0,41,0,2.8,1,2,1
